Time, theta_x, theta_y, PWM_PX, PWM_NX, PWM_PY, PWM_NY
5500.00,-10.85,-15.59,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5568.00,-10.85,-15.59,0.00,8.00,0.00,6.00,0.00,32.00,0.00,25.00
5637.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5703.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5771.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5838.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5906.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
5974.00,-10.85,-15.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6041.00,-10.85,-16.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6109.00,-10.85,-16.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6176.00,-10.85,-16.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6244.00,-10.85,-16.59,7.00,0.00,8.00,0.00,27.00,0.00,31.00,0.00
6312.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6379.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6447.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6514.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6582.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6649.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6717.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6785.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6853.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6921.00,-10.85,-16.02,0.00,3.00,0.00,1.00,0.00,23.00,0.00,19.00
6988.00,-10.85,-16.02,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7055.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7121.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7188.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7255.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7321.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7388.00,-10.85,-15.50,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7454.00,-10.85,-16.23,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7521.00,-10.85,-16.23,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7587.00,-10.85,-16.23,1.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00
7654.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
7721.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
7789.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
7857.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
7924.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
7992.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
8059.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
8127.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
8195.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
8262.00,-10.85,-16.23,7.00,0.00,0.00,6.00,27.00,0.00,0.00,25.00
8330.00,-10.85,-16.23,0.00,4.00,4.00,0.00,0.00,25.00,25.00,0.00
8397.00,-10.85,-16.23,0.00,4.00,4.00,0.00,0.00,25.00,25.00,0.00
8465.00,-10.85,-16.23,0.00,4.00,4.00,0.00,0.00,25.00,25.00,0.00
8532.00,-10.85,-15.69,0.00,4.00,4.00,0.00,0.00,25.00,25.00,0.00
8600.00,-10.85,-15.69,0.00,4.00,4.00,0.00,0.00,25.00,25.00,0.00
