







SparkFun Displacement Sensor Example
waiting to start...

















































Characterizing Negative Y





























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































249556.00,-7.97,-3.97,22
249609.00,-7.97,-3.29,22
249661.00,-7.97,-3.29,22
249713.00,-7.97,-3.29,22
249765.00,-7.97,-3.29,22
249818.00,-7.97,-2.44,22
249870.00,-7.97,-2.44,22
249923.00,-7.97,-3.38,22
249975.00,-7.97,-3.38,22
250028.00,-7.97,-3.38,22
250080.00,-7.97,-3.38,22
250132.00,-7.97,-3.38,22
250184.00,-7.97,-3.38,22
250236.00,-7.97,-3.38,22
250289.00,-7.97,-4.33,22
250341.00,-7.97,-4.87,22
250394.00,-7.97,-4.36,22
250446.00,-7.97,-3.44,22
250499.00,-7.97,-3.44,22
250551.00,-7.97,-4.37,22
250603.00,-7.97,-4.37,22
250655.00,-7.97,-4.37,22
250707.00,-7.97,-3.70,22
250760.00,-7.97,-3.70,22
250813.00,-7.97,-4.43,22
250865.00,-7.97,-4.43,22
250917.00,-7.97,-4.43,22
250970.00,-7.97,-4.43,22
